"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000185000",0.125535767905715,4.43247478626962,1.52979046292379,0.13215337358151,0.543770160774194,-4.35871798020656,"DGAT1"
"ENSG00000119927",0.269603020589926,5.96498786145852,1.4879513374773,0.142826848625385,0.549242266042536,-4.39880257640118,"GPAM"
"ENSG00000177666",0.14093588176738,4.23732863862005,1.38320388747943,0.172535768806364,0.567405565009656,-4.47672126244524,"PNPLA2"
"ENSG00000075239",-0.167706715090565,5.48680990129113,-1.30015159959669,0.199304813535356,0.582461814447874,-4.55157536793816,"ACAT1"
"ENSG00000147872",0.193235095103923,3.62013937025819,1.0751395683113,0.287295006645567,0.645237626412158,-4.66738511522699,"PLIN2"
"ENSG00000169710",0.106243829154169,8.52989290146705,0.969758407893562,0.336673650137873,0.675466099780615,-4.76647707222912,"FASN"
"ENSG00000112972",-0.250403430011422,6.40573928209931,-0.954809079161584,0.344109282659906,0.680226116400439,-4.79160823050959,"HMGCS1"
"ENSG00000278540",-0.0797697542198748,7.68117999722713,-0.921993884010367,0.360806523404466,0.690295301717886,-4.80385943310119,"ACACA"
"ENSG00000198911",0.0456219412017962,8.26343924551653,0.57805969274462,0.565728623513812,0.80740493813425,-4.95269335437142,"SREBF2"
"ENSG00000110090",0.0731480631788353,5.72426799216966,0.571417638188364,0.57018789836054,0.809209506107144,-4.97078957676357,"CPT1A"
"ENSG00000064687",0.116309863103448,4.48858004568242,0.569386409567755,0.571555039526888,0.809840136632452,-4.94314677448184,"ABCA7"
"ENSG00000134324",0.0297687615530196,6.95921239681472,0.39465180199927,0.694720264814019,0.871249063934317,-5.02381734303859,"LPIN1"
"ENSG00000204310",-0.0523715136232985,4.32144362866463,-0.296379637947323,0.768125310965799,0.905469351589102,-4.99558020929672,"AGPAT1"
"ENSG00000072310",-0.0428584412197202,6.52461060569171,-0.243305664014838,0.808729630754703,0.923778979521358,-5.05646449569688,"SREBF1"
"ENSG00000165029",-0.00504254468369147,6.38136878389601,-0.027388141052342,0.97825540764044,0.99352051516239,-5.07514220248248,"ABCA1"
