"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSG00000198216",-0.169979943757644,8.38418075490169,-3.70967674675308,0.000233360416150379,0.000747615491226286,-0.135967815893813
"ENSG00000273319",0.312281405312476,5.0962328925449,3.70957749302572,0.000233449191037418,0.000747776564431202,-0.160519234774315
"ENSG00000234056",0.443486307083138,0.143373295151551,3.70849854108709,0.000234416284985307,0.000750750522597627,0.26338378969439
"ENSG00000275714",-0.324830126134664,2.69506198684449,-3.70806981252856,0.000234801612201738,0.000751860619091091,0.0147116181014981
"ENSG00000139292",0.285599011947552,3.18329783584024,3.70789328894521,0.000234960439074503,0.000752245190140619,-0.0205739479880576
"ENSG00000277301",0.306384666602766,0.158891389012882,3.70771265774259,0.000235123066474098,0.000752641800130666,0.249654967844474
"ENSG00000115750",-0.129229912657121,4.19354320234517,-3.70762328530531,0.000235203570199197,0.000752775440360718,-0.119095660256948
"ENSG00000155275",0.14975367401838,4.6648559755095,3.70708020843345,0.000235693314035692,0.000754218604914213,-0.148436558910379
"ENSG00000085185",0.219404964958293,3.49032360841119,3.70621654446505,0.000236474139492974,0.000756592601797321,-0.0619782446603514
"ENSG00000279801",0.290379186916164,0.527815366513413,3.70574498465456,0.000236901496717621,0.000757835090949124,0.21269523787559
"ENSG00000152822",-0.182819462254904,5.78632375884451,-3.70556946834905,0.000237060746248704,0.000758219650112765,-0.189010760896984
"ENSG00000230910",-0.160638715325332,4.78572822639555,-3.70515159494886,0.000237440297007648,0.000759308582330679,-0.166470046876666
"ENSG00000083937",-0.170613246740182,5.50415124782459,-3.70498488577651,0.000237591877071573,0.000759668250244977,-0.186936009530484
"ENSG00000235121",0.25262044670918,1.25781477379084,3.70479726841513,0.000237762576823456,0.000759977610349125,0.150414600373366
"ENSG00000183760",0.313347199905133,1.16330555244557,3.70479253695185,0.000237766883138984,0.000759977610349125,0.150705179129068
"ENSG00000272720",0.264052292338391,1.84311162141118,3.70463404981036,0.000237911171775251,0.000760313688805934,0.105623261237766
"ENSG00000246859",-0.214851548776047,2.84936922509284,-3.7044844785493,0.000238047418884722,0.0007606239619044,-0.0212061499339615
"ENSG00000213977",0.204159010012845,1.00092267100313,3.7039852326547,0.000238502722755773,0.000761953435330285,0.179023250838738
"ENSG00000037474",-0.110578712210681,5.24574237939201,-3.70389020965258,0.00023858947494989,0.000762105239504468,-0.185476645153513
"ENSG00000244932",0.273177243469266,0.77082772159521,3.70354926594848,0.000238900987451001,0.000762974807669887,0.190843278354643
"ENSG00000110328",-0.157935476058022,5.31744262202262,-3.70288375012456,0.000239510157514169,0.000764794558532834,-0.191551944341164
"ENSG00000126698",-0.157831659969513,5.83106975799741,-3.70269730253149,0.00023968108158098,0.000765162002579076,-0.198745275235831
"ENSG00000169554",0.184050018589785,8.56596271302364,3.70267229588952,0.000239704014914213,0.000765162002579076,-0.159160561323257
"ENSG00000036257",-0.133180174438287,6.60685504340499,-3.70253521097804,0.000239829770774618,0.000765437638436771,-0.1965535148998
"ENSG00000082269",-0.134184504909171,6.60586724047289,-3.70228527983107,0.000240059206812,0.000766044033697437,-0.197245707413835
"ENSG00000105708",-0.132827472563569,4.50864298917314,-3.70222060879651,0.000240118608265153,0.000766102336560921,-0.156108113064322
"ENSG00000278989",-0.163497208561784,3.27238305273,-3.70217951640403,0.000240156359520153,0.000766102336560921,-0.0547619101339683
"ENSG00000167578",0.28593621005873,0.33581621782765,3.70199598912919,0.000240325032779098,0.000766514521625814,0.217201810947458
"ENSG00000054690",0.25708683617971,7.57469774535036,3.7017625354565,0.000240539752725646,0.000767073412730741,-0.182927784930224
"ENSG00000279675",-0.224622115477594,4.5911134187758,-3.70165258026255,0.000240640946998101,0.000767270150113448,-0.168896599740294
"ENSG00000163833",-0.266418811157733,2.74173981193896,-3.70138124313039,0.000240890836233299,0.000767940850647564,-0.00824062004905191
"ENSG00000154734",0.288339542993725,5.55539203222879,3.70125648701201,0.000241005812932361,0.000768181311191036,-0.19843565846527
"ENSG00000129595",0.140916588255323,3.37062157048988,3.7007169870825,0.000241503617336802,0.000769641716677611,-0.065306252134528
"ENSG00000137767",0.236442491288912,1.61364745056837,3.70062359016717,0.000241589894241808,0.000769790371678621,0.108893865748983
"ENSG00000120327",-0.0918931866522303,4.36196632701585,-3.70055281837752,0.000241655290142857,0.000769872454606339,-0.158510404356552
"ENSG00000158882",-0.172934988940357,4.28258171450617,-3.6990857583841,0.00024301466941507,0.000774076244460203,-0.156856040938034
"ENSG00000129450",0.416763574972096,1.05882728511859,3.69885571112322,0.0002432284831232,0.000774630276469101,0.147085132907456
"ENSG00000184408",-0.205121192524788,5.89453310040439,-3.69841386422011,0.000243639647312972,0.000775812542525765,-0.215220490696503
"ENSG00000136867",0.231938254788259,2.1990286275206,3.69826106590687,0.000243781987179725,0.000776138554168003,0.0403863155026647
"ENSG00000136213",0.19926817857568,4.99949128241802,3.69774884493247,0.000244259719812172,0.000777532087451923,-0.200681144661405
"ENSG00000274712",0.201707952824068,2.79423077429409,3.69736016763886,0.000244622814916313,0.000778432758344439,-0.0160623386542156
"ENSG00000248115",-0.193192493887866,1.27744528426607,-3.69628394431086,0.000245630855262468,0.000781512486915345,0.110930052715577
"ENSG00000276855",0.24908392769794,0.662900358587782,3.69606175391516,0.000245839455319625,0.000782048080597511,0.178309060109203
"ENSG00000095383",0.217122273957335,3.23570918671281,3.69593309348795,0.000245960322406893,0.000782304454303503,-0.0774643296472854
"ENSG00000229151",-0.210636116903447,0.202160499915093,-3.69552810747774,0.000246341142409797,0.000783387418167633,0.198412707529074
"ENSG00000250365",0.244628722325943,1.08379143874498,3.69527920167127,0.000246575470961351,0.000784004247496036,0.13602955340594
"ENSG00000111348",0.29646232918283,3.5973742945205,3.69455056684864,0.000247262639486689,0.000786060476168486,-0.105287323437668
"ENSG00000122729",0.0823691381077047,5.60190756950376,3.69348408130031,0.000248271681943404,0.000789139117995201,-0.229585778773189
"ENSG00000151834",-0.160667223414439,7.49357346996826,-3.69264624239479,0.000249067109750517,0.000791537882819706,-0.21712510787071
"ENSG00000159459",-0.124963255402161,6.91014817946796,-3.69242864511129,0.000249274084295564,0.000792066058131366,-0.228309215583136
"ENSG00000276809",-0.217916497107778,0.805603349185575,-3.69193492968599,0.000249744297748836,0.000793430363014949,0.148925450698902
