"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000278540",-0.123438368126903,7.747567523344,-3.37814354374408,0.000789946164711763,0.00494515431435167,-0.857120842471207,"ACACA"
"ENSG00000075239",-0.11020732078333,5.75330278114266,-2.48553268018308,0.0132796248241429,0.0416663457785035,-3.36821220217744,"ACAT1"
"ENSG00000072310",0.231346631446505,6.14969863843314,2.29398726883705,0.0222279827838764,0.0610729099913864,-3.80912322884344,"SREBF1"
"ENSG00000204310",-0.198167039094264,3.9006748030646,-2.24122796301246,0.0254736703544973,0.0677190413051371,-3.82499830819741,"AGPAT1"
"ENSG00000112972",-0.190908280273364,6.53857047052518,-2.22152493160848,0.0267872554701164,0.0703855988858941,-3.96613203152727,"HMGCS1"
"ENSG00000134324",-0.0393066160674307,7.0113115455684,-1.50426365563008,0.133179827359407,0.237111898745044,-5.24648864278143,"LPIN1"
"ENSG00000119927",-0.0727510687162543,6.23051089594329,-1.23385872608173,0.217867292955931,0.34297868116635,-5.61471609708436,"GPAM"
"ENSG00000169710",0.106316000623606,8.0580071619995,1.1537922167625,0.249167085686793,0.378556867615801,-5.67232837342074,"FASN"
"ENSG00000165029",0.0537689319303611,6.4543699572231,0.778644649596818,0.436577792312397,0.567906544997856,-6.05617801067753,"ABCA1"
"ENSG00000064687",0.0637978911216655,4.17784275004308,0.664816678475925,0.506491227197747,0.632270746861737,-6.06670014358242,"ABCA7"
"ENSG00000110090",-0.0267542112602914,5.63641388481722,-0.399264074151422,0.689878552105287,0.786507543993244,-6.2733679322543,"CPT1A"
"ENSG00000198911",-0.0237045723887421,7.9091244975354,-0.352368177878884,0.724718859711241,0.813758968447148,-6.26324952019052,"SREBF2"
"ENSG00000185000",0.0221457464623764,4.13168321601362,0.334826770835944,0.737903954380824,0.823960344065746,-6.21869052138891,"DGAT1"
"ENSG00000177666",0.0161655009119173,3.87220161421427,0.19934650582575,0.842077230153766,0.898311172522581,-6.22943346492743,"PNPLA2"
"ENSG00000147872",0.0124561269556787,3.67994577862213,0.136041700318477,0.891846101064177,0.933808566663716,-6.22102901976028,"PLIN2"
