"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000134324",0.36539346062025,6.31217041325485,6.75463189817504,1.50361591056676e-09,1.22650234064037e-06,11.5645860474157,"LPIN1"
"ENSG00000165029",0.587127843296014,5.00568250837223,3.99945684242421,0.000132203445205358,0.00129183887226112,0.692829598308213,"ABCA1"
"ENSG00000110090",0.472587524165272,5.49363109650901,3.80017575377538,0.000266394050182959,0.00219085226330746,0.0325926730802131,"CPT1A"
"ENSG00000119927",0.411874329807825,5.5719021311063,3.52970517338915,0.000665309407881684,0.00426364487527596,-0.817688981271245,"GPAM"
"ENSG00000169710",0.237697171433427,7.33570543057774,2.87529319382702,0.00506595637131944,0.0197402556668167,-2.57144609585875,"FASN"
"ENSG00000072310",-0.379604938333554,6.54158128935689,-2.74665809277899,0.00730619572617398,0.0261439905139842,-2.95081900357769,"SREBF1"
"ENSG00000278540",0.185730925218308,6.49326173513338,2.68471472513462,0.0086799505893097,0.0299557005066195,-3.11201955634426,"ACACA"
"ENSG00000147872",0.364318598440115,4.02062482588769,2.45372573692794,0.0161170007070688,0.0480512998152255,-3.63583636765794,"PLIN2"
"ENSG00000204310",-0.136959509500369,4.81761981852221,-2.27326110108096,0.0254545293890081,0.0685512228196477,-4.10111994143882,"AGPAT1"
"ENSG00000198911",0.126366536346636,7.94410069576117,1.59725478497005,0.113807904032849,0.217048588428048,-5.17395111687506,"SREBF2"
"ENSG00000112972",0.271183234612722,5.6456807756488,1.48999778501188,0.139814451729123,0.253773183387697,-5.50408467926657,"HMGCS1"
"ENSG00000177666",0.0367734714577388,4.97084010107574,0.673596108667912,0.502340449496287,0.639208674909977,-6.37143076500743,"PNPLA2"
"ENSG00000185000",-0.0440695505286319,4.74250967782598,-0.622102477161389,0.535489353411565,0.667827591413404,-6.3961496425312,"DGAT1"
"ENSG00000064687",0.0290837322534441,4.0125461783609,0.228041111941544,0.820145397132614,0.886936804356939,-6.49704811317817,"ABCA7"
"ENSG00000075239",-0.00364125361129197,5.49278692252474,-0.0681017172853599,0.945859771655591,0.967717506295795,-6.59543808639362,"ACAT1"
