"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000112972",-0.555369488039556,4.92504685234274,-2.67729443174377,0.00887903964824996,0.248574237445982,-2.67330281374651,"HMGCS1"
"ENSG00000147872",0.346056373155818,3.26312134207202,2.22090445443249,0.0289695088727265,0.289612283282343,-3.58723930782725,"PLIN2"
"ENSG00000198911",-0.19626483544108,7.84211776835221,-2.20741448706011,0.0299316605947127,0.29008456020951,-3.62348565099828,"SREBF2"
"ENSG00000169710",-0.239295006232753,7.62414317148498,-1.76899938289421,0.0804181970708235,0.351695011082467,-4.3971629260262,"FASN"
"ENSG00000064687",0.175664205369901,5.3638362605687,1.70707050973864,0.0913957025262365,0.363993854669422,-4.55590595882405,"ABCA7"
"ENSG00000134324",0.115185527653164,6.49000584635584,1.68747728244297,0.0951139281132598,0.368394596225045,-4.56160592900782,"LPIN1"
"ENSG00000110090",0.179318358744919,6.08336371473355,1.54828230827905,0.125204774657744,0.397864142656069,-4.77724267300624,"CPT1A"
"ENSG00000075239",-0.0836454680033398,5.0900576381552,-1.43071523849188,0.156113910089139,0.431908011476865,-4.94743779394456,"ACAT1"
"ENSG00000204310",-0.12235617174423,4.11074636881804,-1.35038015902871,0.180415998605579,0.457075840741479,-5.00798910864305,"AGPAT1"
"ENSG00000177666",0.098366797815773,5.26038554155398,1.14698254504613,0.25455098420584,0.529419833186406,-5.28543542319826,"PNPLA2"
"ENSG00000185000",0.0662493605757577,5.08975299034701,1.023937356103,0.308719419798046,0.575991341134962,-5.40744698173329,"DGAT1"
"ENSG00000278540",-0.0842271868811606,6.05449865733944,-0.899044574254113,0.371124386363309,0.627879141580698,-5.50836962916153,"ACACA"
"ENSG00000119927",0.12453396257681,4.60420009584939,0.800607493601547,0.425552013697952,0.67325547760561,-5.58410394608582,"GPAM"
"ENSG00000072310",-0.101711394795442,6.26451590707241,-0.78932452168864,0.432080243444519,0.678714210915493,-5.58795322394462,"SREBF1"
"ENSG00000165029",0.0309262540108635,3.45842532517083,0.223358718041617,0.823782880390766,0.913807621320529,-5.76580168418479,"ABCA1"
