"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000169710",18635.483715601,0.203652725159254,0.0729409260780337,2.79202275196483,0.00523796729214591,0.133828579263332,"FASN"
"ENSG00000165029",1055.70061545274,0.291142112188017,0.108876314468219,2.67406289062992,0.00749383966393517,0.148547099049262,"ABCA1"
"ENSG00000147872",413.599367359343,0.23726623165411,0.110428262399258,2.14860060729983,0.031666073511396,0.244918813250685,"PLIN2"
"ENSG00000278540",3687.78611013018,0.0745619258086827,0.0508818007135625,1.46539479269664,0.1428132373353,0.440745792281226,"ACACA"
"ENSG00000110090",1232.55002419694,0.118738912535059,0.098880590454929,1.20083134605858,0.229816629854987,0.543633745195298,"CPT1A"
"ENSG00000064687",2018.47671897353,0.114329053122706,0.100363133051159,1.13915388695995,0.254638975020318,0.568494480111311,"ABCA7"
"ENSG00000185000",2417.19158805331,-0.0657352701112707,0.0634378894570263,-1.03621464512625,0.300102015900623,0.607528119344447,"DGAT1"
"ENSG00000072310",2443.78192598739,0.114927109772053,0.116100303735837,0.989894996601789,0.322225445323963,0.625143305022418,"SREBF1"
"ENSG00000134324",5338.53752990635,-0.0272751085359839,0.0425855328105132,-0.640478273627482,0.521861709564531,0.774255512633604,"LPIN1"
"ENSG00000075239",1703.64114930479,0.0167274300125257,0.0415043048561593,0.403028795940509,0.686927040775455,0.868518381864874,"ACAT1"
"ENSG00000112972",1584.39653919172,0.0314563382138986,0.103940055471468,0.302639228651688,0.762164815417806,0.90680201688016,"HMGCS1"
"ENSG00000119927",1231.54708706025,0.0161864060449424,0.0639141188372086,0.253252432160877,0.800073151725746,0.924033547614789,"GPAM"
"ENSG00000177666",2942.9652711912,-0.017262640447518,0.0703991330379621,-0.245210980626839,0.806293074584653,0.926523016019653,"PNPLA2"
"ENSG00000204310",970.477941163789,-0.0115361496765838,0.052510851261545,-0.219690776276408,0.826111988652087,0.934907543476045,"AGPAT1"
"ENSG00000198911",12888.4063134833,0.00444996419225677,0.0386144097453096,0.115241025865928,0.908254081336814,0.969231467831469,"SREBF2"
