"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000064687",244.903316407692,0.175315531302731,0.0653939267004245,2.68091457645397,0.00734212557408775,0.70361433949903,"ABCA7"
"ENSG00000119927",939.592020880895,-0.0940134426663106,0.0446876614046735,-2.10378971982809,0.0353967939470439,0.762492868452103,"GPAM"
"ENSG00000147872",174.204838714152,-0.142465069368364,0.0688528672896799,-2.06912326205647,0.038534521353155,0.762492868452103,"PLIN2"
"ENSG00000075239",666.425456938679,-0.0517740741600088,0.0324096533916878,-1.59748928920318,0.110156683319277,0.762492868452103,"ACAT1"
"ENSG00000177666",193.961437521305,0.0765343218607889,0.0529037163038507,1.44667193928715,0.147988827167343,0.762492868452103,"PNPLA2"
"ENSG00000198911",3055.21757719505,0.055602258471002,0.0388495178569252,1.43122132624075,0.152366793337141,0.762492868452103,"SREBF2"
"ENSG00000185000",223.284893904941,0.0527055677815312,0.0414954359397826,1.27015336959025,0.204030004044404,0.7647783619807,"DGAT1"
"ENSG00000169710",3520.9031787667,0.0655620532478813,0.055102942102299,1.18981039390174,0.234120923423793,0.780697367892779,"FASN"
"ENSG00000165029",1148.51956504001,-0.0631069614465259,0.053709714907622,-1.17496362725192,0.240009267927396,0.781160963313895,"ABCA1"
"ENSG00000112972",1233.77773263426,-0.0510692593054821,0.0580097451087794,-0.880356554053418,0.378666184563141,0.819334461758874,"HMGCS1"
"ENSG00000072310",979.070848828318,0.0570860917707759,0.069208011474691,0.824848027769907,0.409457875769522,0.827135071781837,"SREBF1"
"ENSG00000110090",636.501253299695,-0.0361950523300053,0.0506164361270474,-0.715084962504187,0.474556545241343,0.845380489057726,"CPT1A"
"ENSG00000278540",2637.4865839934,-0.0150320286550992,0.0215014164614097,-0.69911806424839,0.484478250236647,0.849351791928571,"ACACA"
"ENSG00000204310",196.354932832182,0.0375242324743905,0.054405971448434,0.689707976448064,0.490377848747581,0.851236786788208,"AGPAT1"
"ENSG00000134324",1575.27136083553,-0.00113572222722987,0.0188049381385262,-0.0603948930256295,0.95184112600974,0.988106577662406,"LPIN1"
