"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000064687",1095.65393880517,0.0746325217490381,0.0666714212120018,1.11940799209487,0.262966122963735,0.999444793153658,"ABCA7"
"ENSG00000177666",1031.35823039064,0.0584363252485095,0.0525062812756477,1.11293970604641,0.265734325515154,0.999444793153658,"PNPLA2"
"ENSG00000075239",899.455533471832,-0.0284309219781542,0.0286639388182403,-0.991870732017549,0.321260588048382,0.999444793153658,"ACAT1"
"ENSG00000185000",894.659340318202,0.0373155274441027,0.0394664599131954,0.945499736388224,0.344403805334979,0.999444793153658,"DGAT1"
"ENSG00000169710",5074.26341022081,-0.0565223642637829,0.0701842430702182,-0.805342649449581,0.420621976743305,0.999444793153658,"FASN"
"ENSG00000072310",2202.3540621547,-0.0532112164343047,0.0786861652577849,-0.676246151530941,0.498884375137629,0.999444793153658,"SREBF1"
"ENSG00000147872",342.60229872448,0.0707241859070579,0.113799977003795,0.621478033380443,0.534285143251547,0.999444793153658,"PLIN2"
"ENSG00000134324",2366.83726594442,-0.0279371902706926,0.0506960135223739,-0.551072724058726,0.581583822477903,0.999444793153658,"LPIN1"
"ENSG00000112972",839.91567713971,-0.0563641520175116,0.109002152905242,-0.517092098781851,0.605091868955103,0.999444793153658,"HMGCS1"
"ENSG00000165029",323.859313055362,0.0433718214805819,0.0854163402263576,0.50776960667765,0.611614926885538,0.999444793153658,"ABCA1"
"ENSG00000278540",1693.11103918392,0.016555393576431,0.0404113517301992,0.409671858713383,0.682046676146765,0.999444793153658,"ACACA"
"ENSG00000119927",728.228917748748,0.0128685850331632,0.0918785480817734,0.140060822703793,0.888611934362789,0.999444793153658,"GPAM"
"ENSG00000198911",5815.66916790309,-0.00511736814232892,0.0403963022103985,-0.126679123145376,0.899194370016448,0.999444793153658,"SREBF2"
"ENSG00000204310",447.521533546381,-0.00432803506638543,0.0447835274398082,-0.096643460526922,0.923009541501028,0.999444793153658,"AGPAT1"
"ENSG00000110090",2013.20824710891,-0.000733987904466989,0.0828024311900167,-0.00886432794204578,0.992927382216637,0.999444793153658,"CPT1A"
