"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000136280",3291.07517632359,-0.24770110574571,0.0620324179525834,-3.99309125649509,6.52174543192431e-05,0.0986224598956082
"ENSG00000099822",4138.57372178275,-0.255930309267005,0.0644286547149605,-3.97230565187601,7.11803047004176e-05,0.0986224598956082
"ENSG00000063176",1607.82695726667,-0.176775219954579,0.0447664769950862,-3.94883028150691,7.85340048775153e-05,0.0986224598956082
"ENSG00000133243",5104.89765772485,-0.256431424665812,0.0650401166452547,-3.94266551003366,8.0581003912726e-05,0.0986224598956082
"ENSG00000085644",950.957784146496,-0.143912808138243,0.0365332089976318,-3.93923260744961,8.17426493233827e-05,0.0986224598956082
"ENSG00000261221",944.20690705599,-0.210170509054297,0.0538875620571997,-3.90016733047244,9.61262274958153e-05,0.0986224598956082
"ENSG00000131409",7122.76760484762,-0.256390930997626,0.0661706504450789,-3.87469262086865,0.000106759369719885,0.0986224598956082
"ENSG00000160094",1626.1307975574,-0.161872542210409,0.0423803224310067,-3.8195212524381,0.000133710939364919,0.0986224598956082
"ENSG00000105605",5197.13959040347,-0.211380509269738,0.0557001108773725,-3.79497465875977,0.000147658537173387,0.0986224598956082
"ENSG00000160469",8080.03399051009,-0.24422525012743,0.0648844277292977,-3.76400407115178,0.000167214159011125,0.0986224598956082
"ENSG00000126461",4302.43308593477,-0.166912680788063,0.0443605611879029,-3.76263681789445,0.000168131274725362,0.0986224598956082
"ENSG00000172009",2373.79042363129,-0.213578658862869,0.0569186685126975,-3.7523481213413,0.000175185966034666,0.0986224598956082
"ENSG00000212864",1972.50518569194,-0.373660394973898,0.0998852681624375,-3.74089594840189,0.000183365427566764,0.0986224598956082
"ENSG00000183172",1738.89864314768,-0.166436296081737,0.0444927650912869,-3.74074966436129,0.000183472193245935,0.0986224598956082
"ENSG00000009950",1114.75705769413,-0.355967433856433,0.0955528122491404,-3.72534753794894,0.000195046311634228,0.0986224598956082
"ENSG00000073150",1558.78685944913,-0.360121967162837,0.0973409074459705,-3.69959533572999,0.000215943511238806,0.0986224598956082
"ENSG00000183248",1904.49008972193,-0.37609288354061,0.10223504607293,-3.67870801635208,0.000234418453445785,0.0986224598956082
"ENSG00000079313",1572.77778820689,-0.186589020646539,0.0510125345951138,-3.6577092694471,0.000254479464818061,0.0986224598956082
"ENSG00000184897",2020.69703472752,-0.312327041353912,0.0854389084336415,-3.65555982724767,0.000256621350421285,0.0986224598956082
"ENSG00000137218",1027.65455345844,-0.237999820417784,0.0651441105311216,-3.6534357208559,0.000258754587222389,0.0986224598956082
"ENSG00000061938",11022.1481100161,-0.232030035583904,0.0639714066656116,-3.62708978398365,0.000286633646069745,0.0986224598956082
"ENSG00000125901",1448.54162740348,-0.194974891504305,0.0538409007694495,-3.62131555597856,0.000293108738332698,0.0986224598956082
"ENSG00000171703",3110.53160345202,-0.233746126047234,0.0646219844396549,-3.6171301156112,0.000297887577731275,0.0986224598956082
"ENSG00000170604",1496.36547783388,-0.183615188311042,0.0508044611449414,-3.61415482367192,0.000301328967217644,0.0986224598956082
"ENSG00000099624",2879.63826529708,-0.324389025095689,0.0910698326770439,-3.56198112547381,0.000368066850869348,0.115646604543149
"ENSG00000171222",1240.64241295898,-0.322579945677779,0.0911511384246497,-3.53895684961127,0.000401711511643297,0.121358161654703
"ENSG00000107872",867.979877797662,-0.238810113528368,0.0681501017666473,-3.50417838473781,0.000458018438222787,0.121358161654703
"ENSG00000178498",3888.70573233478,-0.163053259386991,0.0467149470959595,-3.49038732832245,0.000482320945695764,0.121358161654703
"ENSG00000090238",5801.92623889137,-0.238001379375448,0.0682701362666914,-3.48617114876871,0.000489987410324767,0.121358161654703
"ENSG00000133275",2709.00341872748,-0.196474520626767,0.0563863989672412,-3.48443107248102,0.000493184472674929,0.121358161654703
"ENSG00000179271",1672.4375098267,-0.235638607069098,0.0676743131793747,-3.48195047719989,0.000497775741221751,0.121358161654703
"ENSG00000105393",1169.29019374791,-0.273677400886964,0.0787735800922535,-3.47422829540633,0.000512324934525611,0.121358161654703
"ENSG00000075399",1453.12668728967,-0.212611498117443,0.0613769311316541,-3.46402946835822,0.000532148211848306,0.121358161654703
"ENSG00000173020",6594.24453513097,-0.202875640283282,0.0585940317636272,-3.46239427765779,0.000535392209285983,0.121358161654703
"ENSG00000175756",2274.87309329753,-0.204798395350095,0.059195125493524,-3.45971722574522,0.00054074292271351,0.121358161654703
"ENSG00000204564",1247.7098102273,-0.224553858649313,0.0651979295895703,-3.4441869559802,0.000572779491085866,0.123090107001157
"ENSG00000100124",1010.34185463359,-0.167226997593436,0.0488978371738209,-3.41992626379325,0.000626381116872571,0.123090107001157
"ENSG00000129968",5135.57489929775,-0.252782782342182,0.0739655784112553,-3.41757325193466,0.000631820891264975,0.123090107001157
"ENSG00000170906",2062.70217652024,-0.296328348670545,0.0874003565761649,-3.3904707060584,0.000697727108600216,0.123090107001157
"ENSG00000159692",3726.33455827739,-0.181857899452733,0.0536523322315131,-3.3895618678421,0.000700044103151974,0.123090107001157
"ENSG00000174672",5626.49020862892,-0.235084724909398,0.0693724280100134,-3.38873428036085,0.000702160174923067,0.123090107001157
"ENSG00000261678",2370.38755754525,-0.452251655331925,0.133812720290943,-3.37973590514125,0.000725555112137917,0.123090107001157
"ENSG00000241837",1115.37996043755,-0.225711785898425,0.0668240814162333,-3.37770128843992,0.00073094434739342,0.123090107001157
"ENSG00000172932",1969.98907488452,-0.187637138771273,0.0556184036111941,-3.37365200344421,0.000741780791855583,0.123090107001157
