"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000147872",174.204838714152,-0.175198413086561,0.0716956740576009,-2.44363994605595,0.0145399292338983,0.513636463084897,"PLIN2"
"ENSG00000119927",939.592020880895,-0.103041310434685,0.0465869284961769,-2.21180734083256,0.0269799796833325,0.539584294503985,"GPAM"
"ENSG00000110090",636.501253299695,-0.102345608919716,0.0526198236524217,-1.94500098661972,0.0517748595644692,0.582644163412938,"CPT1A"
"ENSG00000134324",1575.27136083553,-0.036322258392074,0.0195519484230563,-1.85773088216833,0.06320724069261,0.599166059940026,"LPIN1"
"ENSG00000204310",196.354932832182,-0.0811961462897512,0.0566683550813434,-1.43283047784253,0.151906289111282,0.678633342174897,"AGPAT1"
"ENSG00000112972",1233.77773263426,-0.0513093609269636,0.0604906482884385,-0.848219722862027,0.396315615260168,0.833529953329986,"HMGCS1"
"ENSG00000165029",1148.51956504001,-0.0393270813723827,0.0560546954814592,-0.701584069534204,0.482938589243267,0.867127701950331,"ABCA1"
"ENSG00000075239",666.425456938679,-0.0237578226731363,0.0338865488244214,-0.701098916748183,0.483241286320833,0.867127701950331,"ACAT1"
"ENSG00000198911",3055.21757719505,-0.0150820633094422,0.0405843240121809,-0.371622878452171,0.710173652618615,0.93642583793134,"SREBF2"
"ENSG00000064687",244.903316407692,0.0226039413144114,0.0686528923586236,0.329249657776029,0.741966991864233,0.946039952644184,"ABCA7"
"ENSG00000278540",2637.4865839934,0.00728126156697572,0.0224371855091687,0.32451759887622,0.745546200605416,0.947441164662509,"ACACA"
"ENSG00000169710",3520.9031787667,-0.0163831078786061,0.0575247106752026,-0.284801221706421,0.775796436184611,0.955067858870431,"FASN"
"ENSG00000185000",223.284893904941,-0.0094315352504751,0.0433738870494642,-0.217447314318849,0.827859761682379,0.964951425210388,"DGAT1"
"ENSG00000072310",979.070848828318,0.0110692229622935,0.0722059089128624,0.153300791153419,0.878161076799895,0.977620116702642,"SREBF1"
"ENSG00000177666",193.961437521305,-0.00446613810040382,0.0553058006915761,-0.0807535203280056,0.935637972692016,0.98789616533464,"PNPLA2"
