"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000281383",401.571546571245,-2.26503646235767,0.595045902507488,-3.80649031076921,0.000140952812025966,0.808278672745557
"ENSG00000181444",249.042789971998,-0.736758602572572,0.197568299617158,-3.72913369199534,0.000192139196966397,0.808278672745557
"ENSG00000111087",82.5290447452305,-1.20949807557548,0.333623287679226,-3.62534067687264,0.000288580768219477,0.808278672745557
"ENSG00000204560",817.678026584319,0.37493561481181,0.108806795820164,3.44588416546614,0.000569194286115176,0.808278672745557
"ENSG00000234465",174.29843512434,-0.738536682244664,0.221948554321631,-3.32751292073943,0.00087624925585432,0.808278672745557
"ENSG00000133048",3583.83406474232,-1.8302457715544,0.559913378230027,-3.26880164453311,0.00108003986783724,0.808278672745557
"ENSG00000165124",464.468478778238,1.03006628070326,0.316441020847769,3.25516040222482,0.00113328339812173,0.808278672745557
"ENSG00000265531",56.9052802649904,-1.38809656027942,0.427479970831139,-3.24716163328209,0.00116562172457801,0.808278672745557
"ENSG00000157833",1537.92760374427,-0.893561015242944,0.276787778077417,-3.22832540312895,0.00124517243756963,0.808278672745557
"ENSG00000164638",1044.6746442465,-0.84775744998081,0.263244882382261,-3.22041379231742,0.00128005685317045,0.808278672745557
"ENSG00000138185",711.871083294747,-0.245444207337509,0.0766908848538261,-3.20043519911564,0.00137220221400783,0.808278672745557
"ENSG00000188064",359.787527032448,-0.958543477512618,0.304819620607132,-3.14462525608888,0.00166299703561538,0.808278672745557
"ENSG00000234719",55.752259197941,-1.67031655289702,0.53744729116496,-3.10787044674926,0.00188440654081533,0.808278672745557
"ENSG00000180730",89.5270858337646,1.19180822928035,0.383518499650744,3.10756386032404,0.00188636225496035,0.808278672745557
"ENSG00000198502",270.545619738758,-1.96241013603173,0.635073226986043,-3.09005332400016,0.00200120563153949,0.808278672745557
"ENSG00000183773",2317.35939938831,-0.69551486885157,0.226023289957484,-3.07718230710826,0.00208967454875166,0.808278672745557
"ENSG00000273218",81.9501619940393,-1.05557609997847,0.343277883615912,-3.07499011838333,0.00210509528154395,0.808278672745557
"ENSG00000173334",512.930844964464,-0.710683203375124,0.232698521892829,-3.05409418845571,0.00225741194723421,0.808278672745557
"ENSG00000230839",84.7299968066299,-0.792110211242574,0.259960180619526,-3.04704439485636,0.00231103574536341,0.808278672745557
"ENSG00000105246",97.9345712469874,-1.04182600849813,0.342545476711983,-3.04142392565912,0.00235462057494066,0.808278672745557
"ENSG00000187840",133.866685269924,-0.818616218539206,0.269826464445896,-3.03386185717654,0.00241444961262089,0.808278672745557
"ENSG00000087076",596.871668969736,-0.572590518779525,0.188990900370463,-3.02972533416754,0.00244776232726792,0.808278672745557
"ENSG00000100968",665.56103760905,-0.76499013459019,0.253043964903625,-3.02315107527478,0.00250157324467872,0.808278672745557
"ENSG00000236682",157.36412990027,-0.679918724014334,0.225869427142773,-3.01022910721137,0.00261050695589886,0.808278672745557
"ENSG00000080573",3512.64380484364,-0.72343016267526,0.240702886503518,-3.00549018411829,0.00265153154194457,0.808278672745557
"ENSG00000010610",728.458506947475,-0.861600803630468,0.288146726338172,-2.99014607793699,0.0027884406062292,0.808278672745557
"ENSG00000213889",67.8143716590391,-0.575244669136264,0.19294202780623,-2.98143787373261,0.0028689825159677,0.808278672745557
"ENSG00000261478",53.9661313886186,-0.734506203388474,0.247327677017122,-2.96976954721337,0.00298023227964292,0.808278672745557
"ENSG00000103202",1597.17333513111,-0.602370041987289,0.20301168986727,-2.96716924222995,0.00300555468504747,0.808278672745557
"ENSG00000248367",145.927910261379,-0.930971122669473,0.314513356407292,-2.96003684328074,0.00307602253396196,0.808278672745557
"ENSG00000126603",414.329091309281,-0.676998893228982,0.229164688272475,-2.95420249224451,0.00313478243024495,0.808278672745557
"ENSG00000122641",62.8546363819966,-0.87570672880298,0.297228609401077,-2.94623969935986,0.00321663026299744,0.808278672745557
"ENSG00000268055",99.4963601053746,-1.45602756443726,0.494900746918757,-2.94205974329694,0.00326037019466791,0.808278672745557
"ENSG00000119938",1692.51445656188,-0.827170731589212,0.282421343910514,-2.92885346459969,0.00340214769293785,0.808278672745557
"ENSG00000171729",196.290927742151,-0.749412599646231,0.256174739326532,-2.92539616363578,0.00344017962305849,0.808278672745557
"ENSG00000225377",155.703233138184,-0.354367336751483,0.121571534109412,-2.91488743107049,0.00355816858623775,0.808278672745557
"ENSG00000214353",239.840196569747,-0.80589295870792,0.277071250645859,-2.90861270099069,0.00363036298330168,0.808278672745557
"ENSG00000281332",143.375972365991,-0.548113703154156,0.188674664289713,-2.90507315975672,0.0036716726704493,0.808278672745557
"ENSG00000188130",1094.66645421871,-0.465670325218534,0.160502191170627,-2.90133313334949,0.00371578620639837,0.808278672745557
"ENSG00000188613",203.362737190636,-0.609808597480268,0.210389706035146,-2.89847164565361,0.00374986213343137,0.808278672745557
"ENSG00000228109",193.661575192024,-0.81530782698158,0.28182090212026,-2.8929998479448,0.00381581481857649,0.808278672745557
"ENSG00000133800",295.030021193048,-1.12913069162922,0.390537893832082,-2.8912192887349,0.00383750247996764,0.808278672745557
"ENSG00000237973",8557.42602144078,-1.40360334938205,0.485669648760335,-2.89003719496313,0.00385196247375811,0.808278672745557
"ENSG00000086570",65.4942788371907,0.650374312306914,0.225180541399455,2.88823496144453,0.00387410362713921,0.808278672745557
"ENSG00000165457",138.854910590607,-0.99051020849237,0.34297121536538,-2.88802722828253,0.00387666312842969,0.808278672745557
