"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000173110",40.1248091244657,-1.14716923702812,0.229401194310188,-5.00071170282121,5.71190699800876e-07,0.0102791478336166
"ENSG00000137959",384.737177591082,-0.686905394132669,0.144163145605676,-4.76477806617466,1.89061626993559e-06,0.0170117651968805
"ENSG00000164176",4511.05287547393,-0.350913106920672,0.0798553295009783,-4.39436051561684,1.11099310663469e-05,0.0666447731566595
"ENSG00000244671",52.8203317609814,-1.21899814285828,0.281692781172794,-4.32740284569284,1.50877860607157e-05,0.0678799494871598
"ENSG00000136960",2308.15763861126,-0.425553816757725,0.102250208241394,-4.16188704235273,3.15628478903018e-05,0.0991548546054112
"ENSG00000120738",204.595229583725,-0.605601415580545,0.14736362428797,-4.10957194156076,3.96393212405841e-05,0.0991548546054112
"ENSG00000196104",1578.47649384985,-0.309456259851107,0.0756773708597114,-4.08915183410333,4.32953394414106e-05,0.0991548546054112
"ENSG00000123560",37734.1806753246,-0.412359290146662,0.102217086516569,-4.03415225574658,5.47997783296926e-05,0.0991548546054112
"ENSG00000171840",76.8679929286688,-0.414723766159182,0.103099230802227,-4.02256896518206,5.75667903423079e-05,0.0991548546054112
"ENSG00000264862",71.0145198747091,-1.19606587400754,0.299277355087996,-3.99651311291448,6.42823225282875e-05,0.0991548546054112
"ENSG00000111816",104.886991120428,-0.321152693061049,0.0815014372465923,-3.940454351613,8.13274260985313e-05,0.0991548546054112
"ENSG00000147246",147.544427104612,-0.607916679582627,0.154376358705321,-3.93788715241715,8.22022351035716e-05,0.0991548546054112
"ENSG00000080822",4116.96355400674,-0.370149334580395,0.0944191121481461,-3.92027976284739,8.84462331061932e-05,0.0991548546054112
"ENSG00000127955",1297.45950887108,-0.254655842880678,0.0649869495015935,-3.91856895628612,8.90762472276661e-05,0.0991548546054112
"ENSG00000180730",38.0020620245549,-0.466279975933247,0.119090244107836,-3.91534990482538,9.02731907794016e-05,0.0991548546054112
"ENSG00000016602",119.824503009207,-0.434814637366709,0.111327130163865,-3.90573831128759,9.39381285662276e-05,0.0991548546054112
"ENSG00000241529",165.697199428496,-1.12243549453035,0.28742510327695,-3.9051407887947,9.41705441380091e-05,0.0991548546054112
"ENSG00000152689",513.399230935469,-0.358944827182728,0.0922419411949464,-3.89134077766344,9.96918001185974e-05,0.0991548546054112
"ENSG00000070214",4970.89526714944,-0.293582413762913,0.075676017003849,-3.87946439818551,0.000104686721354902,0.0991548546054112
"ENSG00000086205",420.680936341611,-0.41423779793119,0.10808789340251,-3.83241623914904,0.000126890808910614,0.11170317896079
"ENSG00000154642",561.411919820453,-0.392894499282584,0.102696100926365,-3.82579762754864,0.000130349341974693,0.11170317896079
"ENSG00000173391",203.849121511874,-0.39103431657943,0.102623089396382,-3.81039314718989,0.000138745971488256,0.112896772980619
"ENSG00000279419",171.373034712444,-0.401295166840786,0.105584596188555,-3.80069803102855,0.00014428905193122,0.112896772980619
"ENSG00000107798",1092.67934635792,-0.281998736716912,0.0745780270507744,-3.78125766889651,0.000156038066516351,0.117002543542844
"ENSG00000197479",136.849160492536,0.191573770869452,0.0509263421649219,3.7617814813609,0.000168707414607723,0.121442345331223
"ENSG00000277233",46.0040875030731,-1.10083323075463,0.293827864717603,-3.74652428493343,0.000179301652666104,0.123121547442999
"ENSG00000174607",1523.4606990017,-0.377926379957827,0.101075743304135,-3.73904131301466,0.000184723370802454,0.123121547442999
"ENSG00000010278",645.903879695542,-0.392648472890868,0.105585722916559,-3.71876482960831,0.000200199328171191,0.1264660629469
"ENSG00000244112",22.9946705158865,-0.726666457082453,0.195877998642711,-3.70979110526813,0.000207430327452469,0.1264660629469
"ENSG00000265735",307.705114672748,-0.70456932377072,0.190338860209282,-3.70165778546761,0.000214195389053088,0.1264660629469
"ENSG00000266187",60.9746204726185,-1.30963530480963,0.354207972385495,-3.69736258613715,0.000217851075314176,0.1264660629469
"ENSG00000242808",2913.82804421863,-0.349637222614771,0.0948797180023285,-3.68505756526585,0.000228650955530625,0.12654856113273
"ENSG00000204389",1127.70630674292,-0.70680768463466,0.192030378705071,-3.68070765365831,0.000232587554712556,0.12654856113273
"ENSG00000136541",4631.34697198342,-0.381080019173089,0.104046532431027,-3.66259221013165,0.00024967583348009,0.12654856113273
"ENSG00000162772",99.1827530134984,-0.542946727900178,0.148430881762381,-3.65790946906432,0.000254280824804201,0.12654856113273
"ENSG00000278000",17.9244285475832,0.412680423409758,0.11282883692651,3.65757934453011,0.000254608455441967,0.12654856113273
"ENSG00000224189",50.3655204778836,-0.54468180947428,0.149287166118466,-3.64855080069006,0.000263723759253621,0.12654856113273
"ENSG00000188153",1354.36055699589,-0.353289501753222,0.0969199573847868,-3.64516773723507,0.000267217455159131,0.12654856113273
"ENSG00000170802",963.388338731841,-0.241066967537019,0.0662707032794032,-3.63760991822676,0.000275179767595598,0.126619119279878
"ENSG00000275090",73.7549970079983,-0.966312134132079,0.26606889111102,-3.63181178414757,0.000281438362480281,0.126619119279878
"ENSG00000119508",117.030334493704,-0.401405927856064,0.110892227410576,-3.61978415646631,0.000294848862567548,0.129417076360136
"ENSG00000171492",589.03403360579,-0.188342891400296,0.0522378743547394,-3.60548536338382,0.000311570052377747,0.133500349109284
"ENSG00000164161",1351.22308883042,-0.292982740595236,0.0817781211228983,-3.58265434045536,0.000340120538243172,0.140031269170269
"ENSG00000152910",1596.1772430109,-0.238770613422772,0.0667919562766768,-3.57484084511159,0.00035044100725698,0.140031269170269
