"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000132773",212.923065413085,-0.219385749962489,0.0449499167009721,-4.88067089026986,1.05725552814273e-06,0.0175906174772388
"ENSG00000180914",303.859186050659,0.58147534633438,0.138457229585102,4.19967486043752,2.67298536606577e-05,0.222365652603011
"ENSG00000134809",611.920394561434,-0.226980938991628,0.0560173040185239,-4.05197899057351,5.07862265011971e-05,0.281660412175639
"ENSG00000127951",780.585987783314,-1.0611911853157,0.292713337141042,-3.62535986805538,0.000288559337345978,0.999796804181897
"ENSG00000139410",216.959498422141,-0.465146787822264,0.129366739586657,-3.59556706235673,0.000323685727731205,0.999796804181897
"ENSG00000125430",105.345139054257,0.626193087168624,0.176575254784132,3.54632413207706,0.000390645392258366,0.999796804181897
"ENSG00000089248",1993.27857620807,-0.146163502881865,0.0418864821744185,-3.48951488151306,0.000483898114483762,0.999796804181897
"ENSG00000138375",616.769882351078,-0.105285458277715,0.0303994041566948,-3.46340532646685,0.000533384257698308,0.999796804181897
"ENSG00000170962",237.96300266869,-0.996429563386939,0.289359421359596,-3.44357048650801,0.000574086926212577,0.999796804181897
"ENSG00000182004",895.620480772239,-0.147880784237299,0.0439412864995604,-3.36541772027495,0.000764278577696099,0.999796804181897
"ENSG00000171984",153.478567511626,-0.165602975639247,0.049671505598434,-3.3339632782234,0.000856179603627401,0.999796804181897
"ENSG00000159479",748.275425270014,-0.101958576766908,0.0312040205428968,-3.26748204215363,0.00108508750143109,0.999796804181897
"ENSG00000180992",528.072392172379,-0.124803257276366,0.0382989449010232,-3.25866045654516,0.00111939554549588,0.999796804181897
"ENSG00000244045",221.329140223744,-0.119891831088637,0.0367961431238656,-3.25827168040545,0.00112093036356131,0.999796804181897
"ENSG00000114767",423.789471272159,-0.126441769371571,0.0394216817207753,-3.20741693028626,0.0013393273440563,0.999796804181897
"ENSG00000144136",2050.11059044112,-0.168797704555644,0.0531621016667092,-3.17515108063057,0.00149758506620432,0.999796804181897
"ENSG00000168701",733.325031673609,-0.158376066334219,0.0499827000901111,-3.16861766268512,0.00153165737638598,0.999796804181897
"ENSG00000124541",869.001007204786,-0.111433795405455,0.0353942196561379,-3.14836141291027,0.001641885566639,0.999796804181897
"ENSG00000273274",318.693301855648,0.274601485666525,0.0874716279830671,3.13932062313603,0.00169340054167068,0.999796804181897
"ENSG00000188269",94.6169311062848,0.975572975144773,0.31118832889383,3.13499217214414,0.00171858697365958,0.999796804181897
"ENSG00000265018",93.4399989723934,0.702561243314104,0.225622429487194,3.11388032169905,0.00184644368896483,0.999796804181897
"ENSG00000249626",58.7922397277332,0.311234940116686,0.100043493189557,3.11099632963609,0.00186457256881927,0.999796804181897
"ENSG00000183431",1636.19484642307,-0.102507986107396,0.0330875645057806,-3.09808194221993,0.00194777564527963,0.999796804181897
"ENSG00000106638",616.850932909295,-0.107839119348649,0.0350284819584751,-3.07861241250728,0.00207967053170676,0.999796804181897
"ENSG00000163481",679.772053344137,-0.13550283711565,0.0441647984018193,-3.0681185473286,0.00215411145303521,0.999796804181897
"ENSG00000155438",594.442707323989,-0.14509267534821,0.0479037726809519,-3.02883608592906,0.0024549784265159,0.999796804181897
"ENSG00000121966",595.288447767405,-0.689884430758452,0.228484747656996,-3.01938942460227,0.00253284732427806,0.999796804181897
"ENSG00000183617",633.499167531183,-0.149481966468364,0.0496711114927166,-3.00943469908627,0.00261734336191499,0.999796804181897
"ENSG00000187372",179.884466351278,0.207091153425353,0.0688782984643414,3.00662411880811,0.00264166185466651,0.999796804181897
"ENSG00000100029",1479.82717715048,-0.107923590307891,0.0359296570881747,-3.00374673888584,0.00266677212896126,0.999796804181897
"ENSG00000126698",3502.02249453523,-0.0908464672803254,0.0302776008051792,-3.00045131927314,0.00269579841312361,0.999796804181897
"ENSG00000074842",1080.20593271026,-0.114493112839696,0.0384608437418467,-2.9768747042625,0.00291202992754972,0.999796804181897
"ENSG00000174547",494.931259548774,-0.109730423244698,0.0368783155860564,-2.97547275413486,0.00292537335252529,0.999796804181897
"ENSG00000144649",364.778493803415,0.348083251718517,0.117254144660282,2.9686221559759,0.00299138176375456,0.999796804181897
"ENSG00000130706",869.406177639933,-0.12899922020023,0.0436241773400361,-2.9570579450639,0.00310589744275914,0.999796804181897
"ENSG00000135312",50.9108915215518,0.415055722789503,0.140510135745442,2.95392016090174,0.00313765168080848,0.999796804181897
"ENSG00000106153",5221.44970188802,-0.204359967060122,0.0693006266203852,-2.94889060930956,0.0031891683801132,0.999796804181897
"ENSG00000163877",653.742522163527,-0.0985312364006591,0.0335779870653732,-2.93439973661399,0.00334193504731549,0.999796804181897
"ENSG00000264247",577.503836564398,-0.215820381230714,0.0736700802561387,-2.92955268245048,0.00339450266240563,0.999796804181897
"ENSG00000167088",1401.83400322,-0.136313500613399,0.046660562012814,-2.92138574275989,0.00348478069276349,0.999796804181897
"ENSG00000136527",3196.92051440435,-0.108723929375507,0.0372246618145055,-2.9207499565017,0.0034918995877723,0.999796804181897
"ENSG00000110492",345.178232758384,-0.453593638904391,0.155313712951764,-2.92049961515803,0.00349470628789155,0.999796804181897
"ENSG00000142494",656.949361195296,-1.07628284886011,0.368848607134036,-2.91795286207764,0.00352337608746375,0.999796804181897
"ENSG00000143368",942.864527422336,-0.117037236934692,0.0401589744602439,-2.91434824986765,0.00356432049165606,0.999796804181897
"ENSG00000104872",1322.73188311421,-0.121380449406293,0.041899392156983,-2.89695012642476,0.00376809653085446,0.999796804181897
