"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000147872",460.19950624074,-0.177172165681601,0.158633673040927,-1.1168635402894,0.264052675795561,0.999923284016233,"PLIN2"
"ENSG00000177666",3074.80304338709,-0.0710842195133213,0.0734424142556385,-0.967890560703672,0.333099029014802,0.999923284016233,"PNPLA2"
"ENSG00000134324",6055.01631907207,-0.0484730592577438,0.0587389975111236,-0.82522789478258,0.409242219444763,0.999923284016233,"LPIN1"
"ENSG00000072310",2177.45684140854,0.114242083082896,0.145342562937609,0.786019461703977,0.431856085561455,0.999923284016233,"SREBF1"
"ENSG00000204310",925.011928539982,-0.045785443613069,0.0624008368567925,-0.733731243350868,0.463112552731012,0.999923284016233,"AGPAT1"
"ENSG00000112972",1745.05353086912,-0.0943153874230209,0.129009849138402,-0.731071217065288,0.46473565408352,0.999923284016233,"HMGCS1"
"ENSG00000064687",2327.97801350722,0.0707455312131903,0.142904915369855,0.495053168955683,0.620562589868683,0.999923284016233,"ABCA7"
"ENSG00000110090",1238.2271623831,-0.0574901733556525,0.125425935690707,-0.458359533369718,0.646694159454308,0.999923284016233,"CPT1A"
"ENSG00000169710",20185.1498719843,0.0377308137663301,0.0964014602704927,0.391392554225437,0.695507095134215,0.999923284016233,"FASN"
"ENSG00000165029",1099.20162877718,0.0378589978391907,0.134023994066664,0.282479253829426,0.777576052161173,0.999923284016233,"ABCA1"
"ENSG00000278540",4323.99115660501,0.00982551241549572,0.0572916878242391,0.171499789736317,0.86383079575882,0.999923284016233,"ACACA"
"ENSG00000198911",14240.8684458441,0.00425393725711414,0.0582629752950862,0.073012702073128,0.941796009697026,0.999923284016233,"SREBF2"
"ENSG00000185000",2552.75773155221,0.00485120857937198,0.0688240594408968,0.0704871031842867,0.943805965185899,0.999923284016233,"DGAT1"
"ENSG00000119927",1251.64240762204,0.00577801077672491,0.0869823765987775,0.0664273730226649,0.947037577806132,0.999923284016233,"GPAM"
"ENSG00000075239",1768.75099581261,-0.00381369922858355,0.0620076262210248,-0.0615037127044616,0.950958057695484,0.999923284016233,"ACAT1"
