"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000064687",257.916146396483,-0.353632629746795,0.110299002854786,-3.20612716882282,0.00134534518393082,0.016557112089579,"ABCA7"
"ENSG00000169710",3625.69432266417,-0.28306133325024,0.0889145469100888,-3.18352106699114,0.00145495525368348,0.0173355422229628,"FASN"
"ENSG00000165029",1203.50934209593,-0.276487244421891,0.0879300291017875,-3.144400692758,0.00166427387208136,0.0184391579259471,"ABCA1"
"ENSG00000185000",225.549583111983,-0.212071285439299,0.0723440055316017,-2.93142858044626,0.00337406938444728,0.0265085976487181,"DGAT1"
"ENSG00000147872",179.261109024175,-0.350278850334571,0.11954319692421,-2.93014457825356,0.00338804328542348,0.026543312524198,"PLIN2"
"ENSG00000119927",946.295934202881,-0.206524648353725,0.0707679655593681,-2.91833524846026,0.00351905780433338,0.027046671543582,"GPAM"
"ENSG00000110090",623.882771291521,-0.185086571335811,0.0654582787894941,-2.82755023136228,0.00469056559853426,0.031461899987409,"CPT1A"
"ENSG00000198911",3061.19258765862,-0.17776982886896,0.0651966520093121,-2.72667113095883,0.0063976767929003,0.0379971976902707,"SREBF2"
"ENSG00000177666",199.229011170731,-0.22854613601517,0.0847262475053171,-2.69746557583383,0.00698695082974327,0.0398653928651285,"PNPLA2"
"ENSG00000134324",1627.27565742089,-0.0593894997238476,0.027717503798265,-2.14267129378242,0.032139501979728,0.102403658066128,"LPIN1"
"ENSG00000072310",1012.29914022886,-0.241041863845536,0.113766607915506,-2.11874000870763,0.0341124451657609,0.106432210367641,"SREBF1"
"ENSG00000075239",651.759072272895,0.104935066376401,0.0512455190881406,2.04769252499748,0.0405901367479521,0.11989597585659,"ACAT1"
"ENSG00000278540",2613.29901547711,0.0535360378220549,0.0361050404964899,1.48278570210327,0.138131356012226,0.27391028122147,"ACACA"
"ENSG00000204310",194.307508680776,-0.103340692385436,0.0905319857915571,-1.14148266473874,0.253669121858401,0.416921314727125,"AGPAT1"
"ENSG00000112972",1200.30008648418,0.0622717282369039,0.0964597313692696,0.645572275113578,0.518556397371191,0.673074504164128,"HMGCS1"
