"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000064687",788.093336714344,0.200677854938871,0.126069453697031,1.59180395451811,0.111428761337454,0.999796804181897,"ABCA7"
"ENSG00000112972",2769.99655964749,-0.217154976737712,0.142210681774614,-1.52699483630826,0.126762295396681,0.999796804181897,"HMGCS1"
"ENSG00000134324",3967.01297657393,0.051938299999162,0.0561321622967007,0.925285930098844,0.354817195488746,0.999796804181897,"LPIN1"
"ENSG00000278540",4331.1489087083,0.0467678691113944,0.0547509026393185,0.854193572286583,0.392997744056062,0.999796804181897,"ACACA"
"ENSG00000165029",1783.48491767586,0.106628424024783,0.131232749127822,0.812513833120461,0.416496852311768,0.999796804181897,"ABCA1"
"ENSG00000119927",2530.01428808082,0.093311436646969,0.11923479630082,0.78258561713438,0.433870490268184,0.999796804181897,"GPAM"
"ENSG00000204310",1245.80402631769,-0.0349725524850633,0.0524701467887341,-0.666522863484199,0.50507695477731,0.999796804181897,"AGPAT1"
"ENSG00000177666",1405.13629040713,-0.0302272003683025,0.0551901240142413,-0.547692198707556,0.583903269714556,0.999796804181897,"PNPLA2"
"ENSG00000110090",2306.8587273775,-0.0546025045240318,0.108784854219858,-0.501931127412997,0.615715968548269,0.999796804181897,"CPT1A"
"ENSG00000198911",11780.2232731657,-0.0308217590570021,0.0640201789707073,-0.481438189529347,0.630205099966126,0.999796804181897,"SREBF2"
"ENSG00000075239",2035.43511242875,0.0163046953010575,0.0411050656303663,0.396659026108267,0.691618919045527,0.999796804181897,"ACAT1"
"ENSG00000072310",4202.51299440317,0.0508853675381962,0.134530037617823,0.378245397379231,0.705248303923756,0.999796804181897,"SREBF1"
"ENSG00000185000",1178.36170722851,0.0140449232761773,0.0641960992637378,0.218781568308011,0.826820205423448,0.999796804181897,"DGAT1"
"ENSG00000169710",8069.34446332045,0.00367903402075562,0.0726617598776162,0.0506323274711787,0.959618502257189,0.999796804181897,"FASN"
"ENSG00000147872",850.329814668826,-0.00523315169117477,0.136034694584405,-0.0384692427704741,0.969313554037377,0.999796804181897,"PLIN2"
