"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000165029",326.817678461634,-0.154256861470764,0.0950699607793675,-1.62256153474969,0.104683168823269,0.999798741752934,"ABCA1"
"ENSG00000147872",353.915794351554,0.19167588703691,0.128632395514562,1.49010586540162,0.136196402212541,0.999798741752934,"PLIN2"
"ENSG00000198911",5481.39672884264,0.053914613836293,0.0444509221087606,1.21290203394155,0.225167277926154,0.999798741752934,"SREBF2"
"ENSG00000204310",418.06462735271,-0.0462127454721625,0.0507738558720443,-0.910168130398128,0.362733848615701,0.999798741752934,"AGPAT1"
"ENSG00000112972",743.028302856799,0.105482009824326,0.121011423701157,0.871669852301042,0.383388511494312,0.999798741752934,"HMGCS1"
"ENSG00000110090",2016.5589051604,0.083583463567653,0.0983138980539809,0.850169357762217,0.395230935226219,0.999798741752934,"CPT1A"
"ENSG00000177666",1007.99953601935,0.0523515187450377,0.0650031928598574,0.805368420254434,0.420607109622238,0.999798741752934,"PNPLA2"
"ENSG00000064687",1109.23393476433,0.0541292883460286,0.0846851948688545,0.639182426513329,0.522704262987336,0.999798741752934,"ABCA7"
"ENSG00000134324",2368.19986617735,-0.0312131332549772,0.0572931895359866,-0.544796571944591,0.58589343665326,0.999798741752934,"LPIN1"
"ENSG00000075239",869.916543022212,-0.0129430492111325,0.0344911775594059,-0.375256808464716,0.707469484781372,0.999798741752934,"ACAT1"
"ENSG00000185000",885.213704654582,0.0145752446466164,0.0475851196982569,0.306298370983195,0.759377479419265,0.999798741752934,"DGAT1"
"ENSG00000278540",1621.07939686397,0.00848046978582508,0.045613600818664,0.185919761510148,0.852507684937323,0.999798741752934,"ACACA"
"ENSG00000119927",747.637588590652,-0.0169545540940698,0.101980430465742,-0.166253015570133,0.867957839529202,0.999798741752934,"GPAM"
"ENSG00000072310",2230.56372027294,-0.00432231186915847,0.0969612944076259,-0.0445777038720982,0.964443914721858,0.999798741752934,"SREBF1"
"ENSG00000169710",4769.71187170307,-0.00367075233646507,0.0827587507166369,-0.0443548543770749,0.964621547194216,0.999798741752934,"FASN"
