"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSG00000026036",0.235787603809485,3.62907546677813,1.69024972424341,0.0950307296137642,0.187093817450642,-5.027621800822
"ENSG00000180628",0.140888974297316,6.76943740434512,1.69006627672397,0.0950659710564024,0.187120577253586,-5.18605559030539
"ENSG00000144285",0.222993080947818,6.07524668802681,1.6900527472177,0.0950685705837469,0.187120577253586,-5.20738581445316
"ENSG00000100429",0.238189301367453,1.64343821771328,1.69000667693289,0.0950774228547765,0.187120577253586,-4.76892690986004
"ENSG00000198876",0.0913670987235999,4.72940836847994,1.68944759469958,0.0951849025438722,0.187310031757026,-5.16179934148153
"ENSG00000127452",-0.132588916096402,3.73661447226888,-1.68939106289661,0.0951957759133091,0.187310031757026,-5.04162411400265
"ENSG00000116741",0.260634052274964,4.3750476603071,1.68928541268763,0.0952160994731396,0.187317672882919,-5.12624941835258
"ENSG00000170175",-0.139793909774151,2.7822858746209,-1.68925604230076,0.0952217499807564,0.187317672882919,-4.90398339370982
"ENSG00000156650",0.110641144268376,6.01572100668143,1.68908557159545,0.0952545518925427,0.187334185688583,-5.21048089654495
"ENSG00000106399",-0.169409998407168,3.453582928139,-1.68905183103937,0.0952610453319879,0.187334185688583,-5.00112512745627
"ENSG00000261474",-0.177829374657542,1.72156625580932,-1.68898683721215,0.0952735545465615,0.187334185688583,-4.7751827470678
"ENSG00000175311",0.261908439012068,1.73106548581301,1.68887345357428,0.0952953804494751,0.187334185688583,-4.78025981096815
"ENSG00000099840",-0.186396458245058,3.89415763940108,-1.68887151834101,0.0952957530096801,0.187334185688583,-5.06385157825411
"ENSG00000176853",0.138918665045919,5.75462138434044,1.6888524323064,0.0952994274092229,0.187334185688583,-5.21165965893733
"ENSG00000167244",0.356626871005222,1.56444968822747,1.68881066762099,0.095307468254089,0.187334185688583,-4.76327384699739
"ENSG00000182580",0.171195872128997,4.64751523514731,1.68844290281336,0.0953782969636662,0.187451679013422,-5.15591025007408
"ENSG00000134049",-0.122773664653724,4.93257958980424,-1.68786509587604,0.0954896649964478,0.187648809811675,-5.18052542145516
"ENSG00000138594",0.143668017027356,4.46549074180425,1.68775265493129,0.0955113494962276,0.187669676295507,-5.13864781703489
"ENSG00000163468",0.140848430198964,7.2863014826966,1.68739561221962,0.0955802326726075,0.187783267596704,-5.16597364697214
"ENSG00000275025",0.319555305391866,0.466684533799539,1.68711731031905,0.0956339527428164,0.1878548756877,-4.66214165070892
"ENSG00000111885",-0.255312455326739,3.03200079442676,-1.68709202550701,0.0956388346416416,0.1878548756877,-4.94185088812467
"ENSG00000278784",-0.158325297529104,3.40860251040285,-1.68683732472002,0.095688022682818,0.187929725150887,-4.99785845779697
"ENSG00000047410",0.164916934089318,6.64335399588222,1.68664902776069,0.0957244000328993,0.187978051458566,-5.19664430488666
"ENSG00000175182",-0.149464834956029,6.18424432032305,-1.68659521908448,0.0957347974790749,0.187978051458566,-5.21256149381754
"ENSG00000138964",-0.265828175349407,1.29484065537788,-1.68640128406756,0.0957722791755448,0.188029877580234,-4.73578895992169
"ENSG00000160007",0.0855789128329221,7.61556327602215,1.68626760282355,0.0957981226370666,0.188058844982291,-5.15073634183609
"ENSG00000151632",0.243536156943646,2.2082497678214,1.6854288024451,0.095960410735063,0.188355625654622,-4.83913344357813
"ENSG00000186260",0.147857676354186,5.2688276216025,1.68530708565615,0.0959839786939116,0.188358563027825,-5.20519198822527
"ENSG00000172113",0.0988090920622371,3.88364802846465,1.68530635272437,0.0959841206254181,0.188358563027825,-5.07064124388861
"ENSG00000157613",-0.27895003088948,0.713899144512431,-1.68459191972588,0.0961225513335596,0.188608393852347,-4.68380816815769
"ENSG00000172183",0.288688890576254,0.203923366439931,1.68442024564465,0.0961558396893566,0.188651883999514,-4.64356734417237
"ENSG00000198951",-0.135682888548646,3.55230965218933,-1.6843437939927,0.0961706670261417,0.188659148883324,-5.02316077046946
"ENSG00000235173",-0.124127261131727,3.76469867671875,-1.68425978229801,0.0961869627388992,0.188669292284177,-5.05391564302644
"ENSG00000164284",0.124121029574882,4.9086248421477,1.68407439468036,0.096222930267422,0.188718014849683,-5.18523835260104
"ENSG00000162885",0.204649185721426,3.031386274029,1.68385303465751,0.0962658912675049,0.188780440564942,-4.95130323373481
"ENSG00000140873",0.319029198055003,5.78943687550211,1.68379113466694,0.0962779074623901,0.188782175124832,-5.21863124654764
