"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSG00000134294",0.678742384475559,6.26278893807895,5.08244106272338,2.09369341011683e-06,0.018298818131511,4.69658386949603
"ENSG00000136449",-0.494484809795944,1.78794770998899,-5.01236657961453,2.78066285998439e-06,0.018298818131511,4.21587281414693
"ENSG00000171388",0.743186991963231,4.34467678870822,4.97498049884198,3.23262598012797e-06,0.018298818131511,4.29870587199915
"ENSG00000186615",-0.38471581338724,0.750164228001602,-4.83318630770211,5.69384650745328e-06,0.0241732253473929,3.37271328450249
"ENSG00000070731",0.490476870392174,0.599483085748355,4.65013322627857,1.16785429720485e-05,0.0282475175870081,2.72655789780572
"ENSG00000088836",0.707891673262868,2.48706335563057,4.63091457578773,1.2582796796425e-05,0.0282475175870081,2.98467523836264
"ENSG00000053702",0.404363254176387,3.87057089184999,4.5973644609502,1.43267286869555e-05,0.0282475175870081,2.94168170339411
"ENSG00000105419",-0.483592504767038,5.96432307085951,-4.58204364920328,1.51990263904611e-05,0.0282475175870081,2.89447786109099
"ENSG00000196154",1.07086581753536,0.667723236136723,4.58021679444623,1.53064137448661e-05,0.0282475175870081,2.50227782869989
"ENSG00000158169",0.377439941456201,2.33043035774811,4.52700285545579,1.87780886302403e-05,0.0282475175870081,2.6247445233036
"ENSG00000196415",-0.875810522548729,0.308234156246213,-4.52517490860102,1.8909978059863e-05,0.0282475175870081,2.2861442604992
"ENSG00000254746",0.636933712350265,0.536036033180254,4.51104022125566,1.99605588884759e-05,0.0282475175870081,2.27320247841965
"ENSG00000271978",0.356794509019982,1.046712293655,4.47048993275166,2.32978454924719e-05,0.0304341547810121,2.26173957739558
"ENSG00000143157",0.333428993636598,5.68291930229199,4.44150831041028,2.60075687416908e-05,0.031547180883671,2.40724090797714
"ENSG00000154864",0.659439986178306,2.84705944169494,4.39265954609266,3.12788870232865e-05,0.0322779450943382,2.21023952374639
"ENSG00000020577",0.524046585001389,5.33290715262341,4.36347507044056,3.490616752745e-05,0.0322779450943382,2.13999640443949
"ENSG00000120594",0.293153950072034,4.34909608438656,4.36308070232151,3.49578615408145e-05,0.0322779450943382,2.1391864958313
"ENSG00000168743",0.671714078794697,1.18844809471119,4.35516944990457,3.60106292525975e-05,0.0322779450943382,1.91836844414117
"ENSG00000231920",-0.837923360240658,0.163508211715609,-4.35440777082458,3.61135883165956e-05,0.0322779450943382,1.73265508233677
"ENSG00000198830",-0.436721657915895,5.58099160120367,-4.33866380014964,3.8306539324662e-05,0.0325260825405705,2.05593688884313
"ENSG00000151552",0.46286524929426,8.1146300442458,4.31454882036356,4.19166631053494e-05,0.0338966082311926,1.96646618315838
"ENSG00000260788",1.01568322775706,1.4421094073713,4.27522420519909,4.85183069520583e-05,0.0374517222118116,1.69750930329554
"ENSG00000198743",0.629582779720973,4.72453198384946,4.23712577552816,5.58635281431645e-05,0.0403789888171026,1.7145629857994
"ENSG00000147251",0.401736038664766,1.6525616057199,4.22967235248138,5.74207832905191e-05,0.0403789888171026,1.59283589933594
"ENSG00000228058",1.08111435063043,0.63682908946786,4.21342072950919,6.09625651412691e-05,0.0403789888171026,1.37531720095917
"ENSG00000125534",-0.647523219539281,6.41048096591663,-4.20961635564738,6.18215586647431e-05,0.0403789888171026,1.62468242017518
"ENSG00000254858",-0.357943954064059,2.85151704538442,-4.1901667048448,6.63983794922028e-05,0.0406017952930396,1.54986434859315
"ENSG00000149809",-0.399705268581253,5.14831555578392,-4.17975907682267,6.89796742631237e-05,0.0406017952930396,1.52277863151684
"ENSG00000272720",-0.299589129878751,2.77322050608946,-4.17835468400727,6.93352999351166e-05,0.0406017952930396,1.50923171248041
"ENSG00000011426",0.681383331671172,5.11397102382983,4.15621877900328,7.51791562335441e-05,0.0425564143719349,1.44504744481052
"ENSG00000181026",0.337224088739393,3.32504651962058,4.12735711927381,8.35132743433081e-05,0.044777637620351,1.35421883634326
"ENSG00000112031",0.279424504816944,3.33238372203485,4.11797103090675,8.64100039660124e-05,0.044777637620351,1.32401426807285
"ENSG00000164576",0.332357181956103,4.99310032680246,4.11605389993022,8.70134284225406e-05,0.044777637620351,1.31273227632815
"ENSG00000133069",0.28964995845728,6.87030139735251,4.10421521537199,9.08303791234943e-05,0.0453671028904465,1.27958377297031
"ENSG00000116039",-0.731176710827392,0.0255261996833652,-4.07801610841778,9.98574505505719e-05,0.0467883228999974,0.894750046111936
"ENSG00000038945",0.977120581975786,0.147287961889758,4.07384409693137,0.000101372212355462,0.0467883228999974,0.87813520653194
"ENSG00000115107",0.455665904271087,1.72323536930305,4.07229201851611,0.000101941346561059,0.0467883228999974,1.11062180642532
"ENSG00000198624",0.387345299507998,3.85013554790022,4.03751095388555,0.000115529823907589,0.0516296702525967,1.06461479538708
"ENSG00000132681",-0.405760029307363,0.282615010792224,-4.02706315379625,0.000119940127830315,0.0519706200410525,0.795114736069834
"ENSG00000221883",-0.422607650499381,0.581175014269439,-4.01752455905135,0.00012410726084868,0.0519706200410525,0.816849851866636
"ENSG00000110492",-0.494558801154564,3.42379822600653,-4.01446340534571,0.000125473761729075,0.0519706200410525,0.992476957589183
"ENSG00000196517",0.438382473006999,3.97663459174778,4.00343907073695,0.000130515533657416,0.052771780775482,0.954513800732167
"ENSG00000280187",-0.322544715740311,1.76523576219296,-3.99491861105821,0.000134544647151517,0.0531357487890014,0.88298353570472
"ENSG00000186298",0.282561432718604,5.81941657310132,3.98632675261818,0.000138728067035927,0.0534571993088974,0.893060469558695
"ENSG00000140905",-0.323246702693338,2.81252753326931,-3.9743764937423,0.000144754400272516,0.0534571993088974,0.862466211427559
"ENSG00000105383",0.679144621891256,0.0510069246649574,3.96150445087441,0.000151525824069123,0.0534571993088974,0.551008341094326
"ENSG00000260924",-0.338388749565689,0.552715199059848,-3.96039457513991,0.00015212367673225,0.0534571993088974,0.646904168183458
"ENSG00000227165",-0.357762744427473,0.7808768948566,-3.95735250045054,0.000153773940466773,0.0534571993088974,0.670293262117065
"ENSG00000250934",-0.387929203409191,0.747393071027446,-3.95648836244297,0.00015424583477423,0.0534571993088974,0.66367529774348
"ENSG00000117280",0.346440895648763,4.33055413128136,3.93819267536571,0.000164568391056211,0.0558940083383314,0.742781098386557
"ENSG00000188783",0.490248834463872,5.083462785238,3.91109445104094,0.000181080168048587,0.0595619537523617,0.6514915163655
"ENSG00000175691",-0.303541445891889,1.65888739271804,-3.90905869707047,0.000182382616601272,0.0595619537523617,0.616556153697315
"ENSG00000137285",-0.505950793447199,7.34731494516314,-3.89847282970983,0.000189300987480626,0.0606548937621883,0.62564449249576
"ENSG00000178104",0.365351490522697,6.87594777618341,3.86614994932394,0.000212011999642895,0.0651494299689773,0.520584116287527
"ENSG00000063322",-0.299901444712703,6.20648377622417,-3.86523514552647,0.000212691191725276,0.0651494299689773,0.512279949709146
"ENSG00000069849",0.314019323405947,5.84041427791528,3.86175276805287,0.000215295729041807,0.0651494299689773,0.49777185210312
"ENSG00000166716",0.225422900569987,5.10919303391894,3.85706767452363,0.000218847891586333,0.0651494299689773,0.480665109812363
