"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000204310",-0.258756255118031,3.90683795762864,-2.94372904240023,0.00346670292871222,0.0221106357786165,-2.08243335465638,"AGPAT1"
"ENSG00000278540",-0.0962462708668532,7.74938681405884,-2.42297910911757,0.0159175399891356,0.0577502922787816,-3.45887928591516,"ACACA"
"ENSG00000112972",-0.173417883783701,6.47902191809961,-1.85294360836823,0.0647599659867717,0.149846785914554,-4.64834546433336,"HMGCS1"
"ENSG00000075239",-0.0695983152481414,5.72963653033853,-1.37077927780192,0.171351345573445,0.29833953940985,-5.3987560764347,"ACAT1"
"ENSG00000134324",-0.0333269351692795,7.08205535961193,-1.30260550974691,0.193594356342098,0.325951542836541,-5.47209253463811,"LPIN1"
"ENSG00000110090",-0.0795894826936303,5.68837329542119,-1.16214814503799,0.245993441153484,0.386036489921287,-5.65352826396959,"CPT1A"
"ENSG00000064687",0.103422454994316,4.20709762463575,1.07544040128688,0.282942992524227,0.425898644922945,-5.68665065683697,"ABCA7"
"ENSG00000119927",-0.0657885764245218,6.26576198340126,-1.05296369891932,0.293108145275189,0.436581434698966,-5.77042535915512,"GPAM"
"ENSG00000072310",0.0967679980416989,6.18679201742022,0.915821441105209,0.360412055134712,0.505286339617933,-5.9005201949532,"SREBF1"
"ENSG00000198911",-0.0523002181915651,7.93468927149655,-0.82638988578397,0.409164648303305,0.552818028159879,-5.93974897383023,"SREBF2"
"ENSG00000147872",0.0426435361726814,3.72203476775255,0.455376565295681,0.64913009699088,0.759249691571447,-6.09934215531076,"PLIN2"
"ENSG00000169710",0.0317697379544519,8.09105177343418,0.363395566950901,0.716536089773425,0.810551298652023,-6.19983319890173,"FASN"
"ENSG00000177666",-0.0240403041563382,3.95446388348083,-0.294572640549609,0.768500804128019,0.848903336527288,-6.17390428296466,"PNPLA2"
"ENSG00000185000",-0.00782606510011252,4.16772255839894,-0.119213805179477,0.905176637372882,0.940561615160341,-6.22926365757426,"DGAT1"
"ENSG00000165029",0.00557417814409877,6.56666338703947,0.0807832615252487,0.935662026887023,0.960038564435318,-6.29943803745484,"ABCA1"
