"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000147872",0.470995511658585,3.57077498311292,3.63234788828803,0.000380200695016997,0.0574939013293164,-0.0868234420163567,"PLIN2"
"ENSG00000278540",-0.143927475276061,5.96783121493541,-2.51741780939579,0.0128278901847986,0.156932764041324,-3.26856445628135,"ACACA"
"ENSG00000119927",0.243052301971505,4.73864928208333,2.21591582612775,0.0281403995816607,0.205377673055306,-3.92955228589612,"GPAM"
"ENSG00000110090",0.196685332993192,6.17910883255375,2.14504091980882,0.0334924107304258,0.220773845849004,-4.08244409219933,"CPT1A"
"ENSG00000072310",0.18324690495979,6.32884906012064,1.84243172839681,0.0673042238754723,0.290836468109869,-4.6496976992398,"SREBF1"
"ENSG00000112972",-0.240159694861052,4.66875891682822,-1.80699793634481,0.072683430153786,0.299969541097198,-4.71291449654695,"HMGCS1"
"ENSG00000169710",-0.151069401271823,7.46046369901361,-1.58205092478446,0.115656758870335,0.366452783708048,-5.02888351992645,"FASN"
"ENSG00000198911",-0.0708244902334396,7.72619586350418,-1.28970615650685,0.199055313197062,0.469982180553335,-5.41617306364851,"SREBF2"
"ENSG00000165029",0.129679469159556,3.5638652130494,1.22581369855414,0.222110154335559,0.496329979781873,-5.4664109699258,"ABCA1"
"ENSG00000134324",-0.0545713654499487,6.49859380612548,-0.98747778813281,0.324932672787682,0.601737688087641,-5.80042050827353,"LPIN1"
"ENSG00000064687",-0.0893842663660074,5.35213555996381,-0.987044580799331,0.325144313982939,0.601764988435881,-5.82255977048011,"ABCA7"
"ENSG00000177666",0.0454554089758092,5.25421800627684,0.635083777906246,0.526301188085702,0.750735254896624,-6.09829035956757,"PNPLA2"
"ENSG00000185000",0.0288977096602236,5.09280110148736,0.587111194202564,0.557975053271762,0.773310639513565,-6.12489467836606,"DGAT1"
"ENSG00000075239",0.0188604850373357,5.0818150165785,0.438612411421178,0.661547280387729,0.836069518575741,-6.19843126167474,"ACAT1"
"ENSG00000204310",-0.00386343590133631,4.00766684036897,-0.0634491185497603,0.949489840987871,0.979712176015359,-6.23657524982179,"AGPAT1"
